City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Marsh Harbour,BS,26.5412,-77.0636,73.13,65,71,14.45,broken clouds
300,Nago,JP,26.5881,127.9761,69.87,62,100,9.24,overcast clouds
301,Qaracala,AZ,39.8132,48.9523,46.51,69,100,5.77,overcast clouds
302,Takoradi,GH,4.8845,-1.7554,80.08,84,7,8.3,clear sky
303,Inhambane,MZ,-23.865,35.3833,69.96,75,8,9.22,clear sky
304,Qarayeri,AZ,40.7886,46.3066,41.88,93,90,6.91,overcast clouds
305,Waipawa,NZ,-41.4122,175.5153,65.03,52,76,24.4,broken clouds
306,Lubao,PH,14.9167,120.55,80.67,80,100,6.33,light rain
307,Pathein,MM,16.7833,94.7333,72.41,94,74,4.29,broken clouds
308,Thessalon,CA,46.2501,-83.5666,28.69,91,100,15.59,light snow
309,Port Said,EG,31.2565,32.2841,64.38,82,0,0.0,clear sky
310,Vao,NC,-22.6667,167.4833,75.67,85,23,16.87,few clouds
311,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,69,75,2.24,light rain
312,Pangnirtung,CA,66.1451,-65.7125,26.6,74,90,3.44,light snow
313,Marzuq,YE,14.4,46.4667,66.29,36,99,2.37,overcast clouds
314,Suez,EG,29.9737,32.5263,64.04,78,31,8.93,scattered clouds
315,Saint George,US,37.1041,-113.5841,63.07,25,0,2.48,clear sky
316,Mulki,IN,13.1,74.8,78.08,88,75,0.0,mist
317,Itanhandu,BR,-22.2958,-44.9347,64.35,90,90,2.51,overcast clouds
318,Luwingu,ZM,-10.2621,29.9271,60.08,97,77,2.68,broken clouds
319,Rayachoti,IN,14.05,78.75,68.68,96,82,0.22,broken clouds
320,Saint-Prosper,CA,46.2117,-70.4811,38.68,78,72,1.61,broken clouds
321,Saint-Joseph,RE,-21.3667,55.6167,77.38,81,45,1.07,scattered clouds
322,Chabahar,IR,25.2919,60.643,75.13,65,0,5.77,clear sky
323,Burnie,AU,-41.0667,145.9167,54.82,67,97,4.74,overcast clouds
324,Belem De Sao Francisco,BR,-8.7539,-38.9658,82.04,59,85,19.48,overcast clouds
325,Cap Malheureux,MU,-19.9842,57.6142,75.69,80,2,5.32,clear sky
326,Esperance,AU,-33.8667,121.9,60.64,63,62,8.3,broken clouds
327,Ingraj Bazar,IN,25.0,88.15,62.08,54,0,2.95,clear sky
328,Oktyabrskoye,RU,43.0645,44.7417,28.54,92,86,4.47,overcast clouds
329,Sebrovo,RU,50.0981,43.2976,29.75,91,13,6.89,few clouds
330,Ayr,GB,55.4627,-4.6339,47.5,87,75,16.11,moderate rain
331,Belmonte,BR,-15.8631,-38.8828,75.7,80,68,8.1,broken clouds
332,Baijiantan,CN,45.6333,85.1833,32.34,58,100,1.14,overcast clouds
333,Jiwani,PK,25.05,61.7417,75.88,54,0,6.51,clear sky
334,Pacific Grove,US,36.6177,-121.9166,71.8,58,38,1.99,scattered clouds
335,Malatya,TR,38.5,38.0,44.65,93,90,2.3,mist
336,Natal,BR,-5.795,-35.2094,81.25,83,20,6.91,few clouds
337,Paamiut,GL,61.994,-49.6678,33.53,97,100,5.99,light snow
338,Hualmay,PE,-11.0964,-77.6139,66.45,85,100,8.66,overcast clouds
339,Gorom-Gorom,BF,14.4439,-0.2361,81.37,19,1,7.83,clear sky
